date,open,high,low,close,volume
2024-06-03,132.77,133.34,130.46,131.78,3941620.0
2024-06-04,130.435,131.06,129.24,130.05,4071802.0
2024-06-05,131.18,133.45,130.66,133.28,3575790.0
2024-06-06,133.28,133.81,130.52,130.86,3235466.0
2024-06-07,130.98,131.61,130.33,130.64,2291800.0
2024-06-10,130.12,134.05,130.06,133.84,2710452.0
2024-06-11,133.16,134.47,133.02,134.43,2399523.0
2024-06-12,68.01,68.97,67.26,68.69,6640326.0
2024-06-13,68.8,69.03,67.735,68.99,6152902.0
2024-06-14,68.33,68.73,67.37,68.27,3996512.0
2024-06-17,68.28,69.39,67.65,69.16,5090568.0
2024-06-18,68.99,69.95,67.9,69.73,5635463.0
2024-06-20,69.99,70.84,68.32,68.44,10982119.0
2024-06-21,68.1,68.78,67.46,68.73,10703955.0
2024-06-24,68.19,68.4,67.2,67.27,7135321.0
2024-06-25,67.25,68.14,67.06,67.96,6237190.0
2024-06-26,68.04,68.04,66.66,67.16,7418093.0
2024-06-27,67.35,67.52,66.8,67.49,4523583.0
2024-06-28,67.68,68.8,67.1325,67.37,27676564.0
2024-07-01,67.74,67.9,67.07,67.52,4698902.0
2024-07-02,67.09,67.89,66.54,67.56,5245542.0
2024-07-03,67.3,67.87,66.85,67.79,2697611.0
2024-07-05,67.79,68.25,67.25,68.01,4371040.0
2024-07-08,68.44,68.65,67.81,67.99,4936056.0
2024-07-09,68.23,68.95,68.23,68.62,5365577.0
2024-07-10,69.0,70.25,68.8877,70.02,5865320.0
2024-07-11,70.19,70.305,69.39,69.53,4625171.0
2024-07-12,69.53,70.74,69.35,69.86,4594598.0
2024-07-15,70.12,70.65,69.39,69.71,5887515.0
2024-07-16,70.29,70.71,69.6,70.41,6164937.0
2024-07-17,69.3,69.51,64.14,64.22,14803673.0
2024-07-18,64.82,66.5,64.81,65.83,10698522.0
2024-07-19,66.59,67.13,64.23,64.35,7745773.0
2024-07-22,65.0,66.64,64.87,66.24,7449836.0
2024-07-23,66.12,67.32,65.9,66.26,8759797.0
2024-07-24,62.58,64.3,61.39,61.99,14011327.0
2024-07-25,62.81,63.165,60.53,61.76,12628801.0
2024-07-26,63.2,64.78,63.055,63.86,11995415.0
2024-07-29,64.3,64.65,63.35,63.39,5599097.0
2024-07-30,63.7,64.12,60.88,61.94,8008617.0
2024-07-31,65.91,67.07,63.73,64.26,8848972.0
2024-08-01,63.93,63.93,60.84,62.12,9122479.0
2024-08-02,60.3,60.435,58.0,59.13,11962688.0
