date,open,high,low,close,volume
2024-06-03,79.0,79.32,77.22,77.9,14244431.0
2024-06-04,78.18,78.857,77.775,78.45,10784382.0
2024-06-05,78.98,79.935,78.86,79.83,13716208.0
2024-06-06,79.42,80.055,78.76,80.01,11205277.0
2024-06-07,78.95,79.32,78.135,78.41,12190292.0
2024-06-10,78.57,79.74,78.24,79.3,9490137.0
2024-06-11,79.0,79.08,77.67,77.9,11108400.0
2024-06-12,78.75,78.79,77.64,78.04,12069553.0
2024-06-13,76.5,76.99,75.49,75.68,14026743.0
2024-06-14,74.21,74.29,73.26,73.35,18282714.0
2024-06-17,74.025,75.08,73.83,74.55,13466287.0
2024-06-18,74.085,75.1,73.85,74.46,10305285.0
2024-06-20,74.57,75.2493,74.03,74.35,9709377.0
2024-06-21,73.79,74.6499,73.67,73.67,10410815.0
2024-06-24,74.12,75.935,74.12,74.79,20134412.0
2024-06-25,74.5,74.76,73.6101,73.79,16986435.0
2024-06-26,73.925,74.35,73.67,74.17,7010071.0
2024-06-27,73.46,73.55,72.35,72.37,11865132.0
2024-06-28,72.37,72.555,71.8,72.0,10334974.0
2024-07-01,72.51,73.02,72.02,72.18,9034233.0
2024-07-02,72.32,73.7767,71.97,73.68,13419140.0
2024-07-03,74.18,75.805,74.18,75.57,11768517.0
2024-07-05,74.67,74.715,73.61,74.52,14928681.0
2024-07-08,73.61,73.71,72.95,73.5,10919434.0
2024-07-09,74.01,76.06,73.97,75.7,14516557.0
2024-07-10,75.28,76.655,75.25,76.01,12235165.0
2024-07-11,77.66,78.83,77.4224,78.52,18896930.0
2024-07-12,80.3,81.01,79.425,79.65,14857248.0
2024-07-15,78.09,78.6,77.45,78.01,12614928.0
2024-07-16,77.29,78.58,76.98,78.38,12304469.0
2024-07-17,77.86,77.95,76.49,77.04,10815545.0
2024-07-18,77.36,78.32,76.3649,76.54,11108627.0
2024-07-19,75.66,76.045,75.18,75.27,7557264.0
2024-07-22,76.83,77.19,76.26,76.64,9166842.0
2024-07-23,75.675,76.32,75.44,76.1,7997090.0
2024-07-24,76.15,77.06,75.72,75.8,7924719.0
2024-07-25,75.37,76.215,75.13,75.4,8172638.0
2024-07-26,75.26,76.77,74.55,76.53,10884540.0
2024-07-29,78.46,79.4,78.205,78.62,17364101.0
2024-07-30,78.22,78.79,77.7,78.0,8431939.0
2024-07-31,79.33,80.015,78.34,78.85,12178625.0
2024-08-01,78.77,79.36,77.84,77.98,8559620.0
2024-08-02,76.79,77.47,75.765,77.45,10808670.0
2024-08-05,74.03,77.255,73.87,76.98,16143255.0
2024-08-06,76.51,78.85,76.51,77.9,12128907.0
2024-08-07,78.92,78.94,77.46,77.83,9693911.0
2024-08-08,78.85,80.31,78.75,80.31,14004330.0
2024-08-09,79.97,80.22,79.195,79.99,7755860.0
2024-08-12,80.59,81.5,80.23,80.91,12127711.0
2024-08-13,80.965,81.4,80.68,81.1,9365727.0
2024-08-14,80.55,80.98,78.07,79.47,18058094.0
2024-08-15,77.9,81.88,77.74,79.54,31619351.0
2024-08-16,82.05,84.16,81.98,83.18,25249172.0
2024-08-19,83.98,84.9,83.49,83.91,14750992.0
2024-08-20,82.46,82.6,80.775,81.04,17880059.0
2024-08-21,81.85,83.8,81.71,83.53,14689960.0
2024-08-22,83.5,83.79,81.83,82.96,9728952.0
2024-08-23,84.9,85.79,84.36,85.41,17317996.0
2024-08-26,81.89,82.305,80.3703,81.76,29321676.0
2024-08-27,82.27,82.65,81.27,81.45,9026068.0
2024-08-28,81.125,81.2799,79.205,79.62,14024406.0
2024-08-29,81.24,81.465,80.46,81.02,14154155.0
2024-08-30,84.72,84.75,82.58,83.34,20027304.0
2024-09-03,81.78,83.02,81.7,82.27,11638188.0
2024-09-04,82.87,83.4,82.3,82.47,10845500.0
2024-09-05,82.105,83.01,82.0,82.43,8461044.0
2024-09-06,82.12,82.62,81.17,81.18,11712670.0
2024-09-09,80.93,81.625,80.3199,81.44,10434425.0
2024-09-10,83.8,84.3,82.715,83.8,15327768.0
2024-09-11,83.575,84.84,83.5,84.81,11551734.0
2024-09-12,85.03,85.6801,84.86,85.49,10781344.0
2024-09-13,84.39,84.89,83.82,84.69,8985457.0
2024-09-16,84.035,84.38,83.26,83.6,11298241.0
2024-09-17,84.82,85.77,84.63,84.7,10113889.0
2024-09-18,84.85,85.0,84.04,84.42,7858842.0
2024-09-19,87.625,88.565,86.95,88.49,18618354.0
2024-09-20,89.22,89.52,88.05,88.29,12277036.0
2024-09-23,89.47,91.15,89.32,90.09,19744055.0
2024-09-24,96.07,97.5,94.4,97.19,47423157.0
2024-09-25,94.38,96.18,94.06,95.46,18816624.0
2024-09-26,102.69,105.97,101.76,105.07,67261624.0
2024-09-27,105.97,109.43,105.73,107.33,50075194.0
2024-09-30,111.72,112.22,106.105,106.12,58695541.0
2024-10-01,106.42,112.79,106.15,112.74,44505025.0
2024-10-02,115.31,116.57,112.22,115.25,53732816.0
2024-10-03,110.9,114.09,110.63,112.84,29266952.0
2024-10-04,115.665,115.73,113.75,114.53,25699080.0
2024-10-07,117.45,117.82,113.37,117.52,38404022.0
2024-10-08,110.1,110.76,108.04,109.68,37414363.0
2024-10-09,105.8,109.38,105.62,107.89,28792997.0
2024-10-10,108.98,110.84,107.48,109.28,19736630.0
2024-10-11,108.05,111.05,107.22,110.14,18042614.0
2024-10-14,108.31,110.08,106.92,107.81,21351601.0
2024-10-15,103.99,104.41,101.64,101.84,28942615.0
2024-10-16,102.505,103.85,101.78,102.17,16432574.0
2024-10-17,101.25,101.45,99.55,100.07,15808247.0
2024-10-18,103.365,103.365,101.66,102.43,20824610.0
2024-10-21,100.475,101.65,100.115,100.91,10328625.0
2024-10-22,100.01,101.89,99.8,100.46,20650129.0
2024-10-23,100.165,100.22,97.735,98.0,13638151.0
2024-10-24,96.79,97.41,95.52,96.36,13602870.0
2024-10-25,98.3,98.9,97.05,97.42,16977095.0
2024-10-28,99.03,101.05,98.78,99.93,16044384.0
2024-10-29,101.45,101.45,99.53,99.83,13685370.0
2024-10-30,98.215,99.8,97.58,98.7,10179903.0
2024-10-31,97.8,98.1,96.755,97.98,8379347.0
2024-11-01,98.22,98.2999,97.42,97.58,8501018.0
2024-11-04,98.82,99.88,98.36,98.4,8681889.0
2024-11-05,99.97,101.09,98.955,99.21,10804152.0
2024-11-06,95.8,97.32,94.76,96.73,18162861.0
2024-11-07,99.26,101.1,99.18,100.14,16340404.0
2024-11-08,96.11,96.38,93.69,94.19,24879795.0
2024-11-11,96.16,96.8,95.045,95.42,12556730.0
2024-11-12,92.68,93.33,91.03,91.78,21641878.0
2024-11-13,92.55,92.87,91.28,92.0,12874522.0
2024-11-14,90.89,91.555,90.01,90.58,16946771.0
2024-11-15,90.2,90.7,87.23,88.59,31018266.0
2024-11-18,88.9,89.5,87.85,89.35,13513838.0
2024-11-19,87.16,87.94,86.8184,87.11,19289022.0
2024-11-20,87.04,87.54,86.5,86.77,15174535.0
2024-11-21,86.98,87.0395,85.445,85.58,15869218.0
2024-11-22,83.6,83.68,82.635,83.13,24999202.0
2024-11-25,84.25,85.875,83.75,85.58,15120057.0
2024-11-26,85.815,86.08,84.86,85.18,10241468.0
2024-11-27,86.97,87.54,86.47,86.59,13607643.0
2024-11-29,86.42,87.49,85.97,87.37,7553510.0
2024-12-02,86.94,87.0,85.27,85.95,16537213.0
2024-12-03,86.005,86.64,85.38,85.68,13660713.0
2024-12-04,85.95,85.99,84.27,84.93,13613702.0
2024-12-05,84.795,85.1,83.925,84.15,12979565.0
2024-12-06,86.01,86.69,85.9,85.93,11751505.0
2024-12-09,92.01,94.12,91.83,92.32,32767317.0
2024-12-10,89.785,90.56,89.495,89.83,13859190.0
2024-12-11,88.895,89.165,88.0,88.98,9866019.0
2024-12-12,89.035,90.0,88.49,89.23,9951151.0
2024-12-13,88.19,88.39,87.24,87.82,11608633.0
2024-12-16,85.96,86.9189,85.87,86.06,13216622.0
2024-12-17,85.5,87.6,85.4,87.15,13288728.0
2024-12-18,86.391,87.22,84.8279,85.0,11319469.0
2024-12-19,85.0,85.39,84.24,84.31,13795127.0
2024-12-20,82.21,83.0,81.7,82.28,21270510.0
2024-12-23,82.85,85.31,82.77,85.14,20055113.0
2024-12-24,85.7,85.89,85.0,85.52,5235414.0
2024-12-26,85.72,87.27,85.56,86.08,12016516.0
2024-12-27,84.89,85.27,84.2901,85.06,8629350.0
2024-12-30,84.17,84.95,83.53,84.13,10730977.0
2024-12-31,84.42,85.3499,84.42,84.79,7414994.0
2025-01-02,84.39,85.43,84.2,84.95,10635704.0
2025-01-03,85.1,85.55,84.76,85.54,7689521.0
2025-01-06,86.55,87.3601,85.08,85.52,18077138.0
2025-01-07,84.305,85.11,83.78,84.48,11144054.0
2025-01-08,83.09,83.79,82.72,83.69,9661837.0
2025-01-10,82.25,82.25,80.4,80.53,15393850.0
2025-01-13,80.15,81.08,80.06,80.54,10726627.0
2025-01-14,82.39,82.65,81.49,81.68,8773675.0
2025-01-15,82.63,82.79,82.15,82.44,11655722.0
2025-01-16,82.02,82.59,81.82,82.43,7566488.0
2025-01-17,83.2,85.59,83.03,85.12,21132362.0
2025-01-21,86.87,86.9,84.92,85.38,17099520.0
2025-01-22,85.0,86.54,84.4204,86.4,10354750.0
2025-01-23,85.8,86.2,84.96,86.1,9225628.0
2025-01-24,86.71,89.19,86.48,89.14,18790950.0
2025-01-27,90.59,91.43,89.22,89.99,25999791.0
2025-01-28,90.94,96.43,89.9,96.03,31296275.0
2025-01-29,99.39,101.28,96.45,96.72,75052980.0
2025-01-30,97.3,103.665,97.14,102.74,45929033.0
2025-01-31,102.0,102.5,98.0,98.84,36503531.0
2025-02-03,96.505,101.87,96.07,98.61,29282916.0
2025-02-04,100.59,103.6099,99.68,102.35,29877458.0
2025-02-05,100.165,101.82,99.03,99.28,17017947.0
2025-02-06,101.25,101.74,99.865,100.38,12774618.0
2025-02-07,104.46,107.51,103.0,103.51,39538154.0
2025-02-10,107.32,111.65,106.7,111.32,42429394.0
