date,open,high,low,close,volume
2024-06-03,15.02,15.22,14.46,14.7,5304261.0
2024-06-04,14.82,15.09,14.72,14.91,4712749.0
2024-06-05,15.16,15.33,14.89,15.29,4094596.0
2024-06-06,15.06,15.155,14.725,14.81,4581580.0
2024-06-07,14.34,14.43,13.78,13.97,6052106.0
2024-06-10,14.04,14.28,13.84,14.2,5116587.0
2024-06-11,14.17,14.195,13.78,13.95,5292300.0
2024-06-12,14.42,14.61,14.2084,14.39,4425948.0
2024-06-13,15.29,16.34,15.21,15.5,9903746.0
2024-06-14,14.68,15.385,14.55,14.73,8906717.0
2024-06-17,14.94,15.85,14.94,15.71,8322056.0
2024-06-18,15.49,16.475,15.49,16.18,7389542.0
2024-06-20,17.302,17.88,16.75,17.05,15085133.0
2024-06-21,17.31,18.15,17.1201,18.14,8877262.0
2024-06-24,17.72,18.19,17.6913,17.79,5856418.0
2024-06-25,16.94,17.39,16.91,17.26,5638632.0
2024-06-26,17.09,17.16,16.41,16.45,10342283.0
2024-06-27,16.21,16.26,15.87,15.98,9107717.0
2024-06-28,16.08,16.08,15.41,15.44,6721173.0
2024-07-01,15.62,15.89,15.27,15.29,5280869.0
2024-07-02,15.47,15.52,15.26,15.4,4562984.0
2024-07-03,15.678,16.15,15.6105,16.11,5038327.0
2024-07-05,15.82,16.06,15.255,16.05,4812314.0
2024-07-08,15.96,16.52,15.79,16.44,9913733.0
2024-07-09,16.62,17.18,16.49,17.17,5214450.0
2024-07-10,16.83,17.03,16.68,16.96,4334286.0
2024-07-11,17.48,17.77,17.14,17.62,5857487.0
2024-07-12,17.6,17.8,16.58,16.71,8119221.0
2024-07-15,16.01,16.21,15.73,15.86,6284499.0
2024-07-16,16.22,16.26,15.92,16.1,4374391.0
2024-07-17,16.03,16.075,15.36,15.53,3615626.0
2024-07-18,15.82,16.03,15.5,15.59,4272334.0
2024-07-19,15.51,15.51,14.95,15.04,5054301.0
2024-07-22,15.39,15.61,15.23,15.35,3432248.0
2024-07-23,15.0,15.0,14.62,14.85,3068822.0
2024-07-24,14.75,15.11,14.45,14.47,4598254.0
2024-07-25,14.72,14.879,14.52,14.61,4629014.0
2024-07-26,14.73,15.3,14.72,14.94,4102516.0
2024-07-29,14.995,15.27,14.9501,15.13,3029545.0
2024-07-30,15.03,15.08,14.81,14.92,2390084.0
2024-07-31,15.65,15.845,15.09,15.15,3880223.0
2024-08-01,15.48,15.53,15.03,15.23,3641241.0
2024-08-02,15.09,15.565,14.93,15.5,3828354.0
2024-08-05,15.14,16.17,15.07,15.99,7537723.0
2024-08-06,15.69,15.865,15.23,15.67,4894428.0
2024-08-07,15.73,15.76,14.95,14.97,5777303.0
