date,open,high,low,close,volume
2024-06-03,104.17,104.22,102.48,102.77,6908604.0
2024-06-04,102.105,103.49,101.63,103.33,7269109.0
2024-06-05,103.0,103.08,101.0299,101.5,10796877.0
2024-06-06,101.05,101.93,100.8101,101.21,10294705.0
2024-06-07,100.86,102.27,100.552,101.54,6047828.0
2024-06-10,101.25,102.845,100.635,102.74,7633073.0
2024-06-11,102.64,102.88,100.74,100.87,9134218.0
2024-06-12,101.2,101.69,100.25,100.8,9041768.0
2024-06-13,100.61,101.07,99.605,100.09,10164570.0
2024-06-14,99.81,100.38,99.25,99.97,7087573.0
2024-06-17,100.98,101.92,100.62,101.52,10388986.0
2024-06-18,101.12,101.76,100.61,101.5,7044674.0
2024-06-20,100.57,101.935,100.38,101.84,7886934.0
2024-06-21,101.795,102.54,101.585,102.27,14144918.0
2024-06-24,102.25,103.08,101.91,101.98,7393608.0
2024-06-25,102.66,103.677,101.77,102.2,10343709.0
2024-06-26,101.9,102.37,101.43,102.18,10122311.0
2024-06-27,102.04,102.28,101.81,102.17,8365165.0
2024-06-28,102.02,102.58,98.38,99.29,21439416.0
2024-07-01,99.4,99.74,97.88,98.04,15298971.0
2024-07-02,97.935,97.99,96.95,97.99,13340320.0
2024-07-03,97.84,99.08,97.83,98.61,5029969.0
2024-07-05,98.305,98.305,97.584,97.99,8550759.0
2024-07-08,97.69,98.29,96.89,97.37,8167589.0
2024-07-09,97.47,97.53,96.15,97.05,9048576.0
2024-07-10,96.95,97.2799,96.25,96.97,7761123.0
2024-07-11,97.01,97.58,96.3,96.6,7432590.0
2024-07-12,97.095,97.83,96.98,97.13,6465736.0
2024-07-15,97.33,97.49,96.6,96.87,7417699.0
2024-07-16,97.02,98.72,96.54,98.47,10755508.0
2024-07-17,98.3,98.61,96.53,97.31,9456087.0
2024-07-18,97.36,98.06,96.675,96.79,7529378.0
2024-07-19,96.82,96.82,95.44,95.74,9300963.0
2024-07-22,95.11,95.155,93.49,94.13,13377038.0
2024-07-23,90.7,91.69,89.83,90.94,22534730.0
2024-07-24,90.22,90.75,89.575,89.8,11768547.0
2024-07-25,90.08,90.5,89.21,89.21,10765285.0
2024-07-26,90.0,90.55,89.335,89.93,11301857.0
2024-07-29,90.39,92.55,90.19,92.14,13024847.0
2024-07-30,91.67,94.04,91.67,93.79,9896054.0
2024-07-31,93.785,94.835,93.64,93.69,10241834.0
2024-08-01,93.86,93.95,92.6,93.05,9263596.0
2024-08-02,92.16,92.2,89.0,89.57,15433552.0
2024-08-05,86.89,89.56,86.42,87.78,19103158.0
2024-08-06,88.23,91.91,87.96,89.97,21717509.0
2024-08-07,88.0,89.2447,85.75,85.96,30581926.0
2024-08-08,85.15,86.33,83.91,85.96,21890474.0
2024-08-09,86.13,86.25,84.71,86.21,16008396.0
2024-08-12,85.86,86.38,85.48,85.95,11754596.0
2024-08-13,86.46,86.46,85.31,85.6,14615212.0
2024-08-14,86.01,86.54,85.56,86.3,9475119.0
2024-08-15,87.25,88.925,87.21,88.79,12400986.0
2024-08-16,88.96,89.67,88.34,89.3,10277743.0
2024-08-19,89.41,90.95,89.41,90.82,9723589.0
2024-08-20,90.39,90.67,89.31,89.74,8863436.0
2024-08-21,90.22,90.78,89.43,90.72,7637566.0
2024-08-22,90.99,91.3757,89.695,89.92,7613030.0
2024-08-23,90.15,90.75,89.68,90.56,7369239.0
2024-08-26,90.92,91.8,90.92,91.78,8043757.0
2024-08-27,91.43,91.72,90.75,90.9,7237353.0
2024-08-28,90.33,90.6247,88.76,89.49,8569690.0
2024-08-29,90.45,90.7,89.63,89.81,6181750.0
2024-08-30,89.98,90.45,89.4001,90.38,8403632.0
2024-09-03,89.605,90.4877,88.535,89.13,8465469.0
2024-09-04,88.95,90.0201,88.82,89.25,6250570.0
2024-09-05,89.665,89.665,88.34,88.65,6234114.0
2024-09-06,88.45,89.09,87.72,87.94,7791503.0
2024-09-09,88.22,88.885,87.81,88.34,8750247.0
2024-09-10,88.33,88.89,87.98,88.4,6858313.0
2024-09-11,88.05,88.43,86.59,88.32,10779000.0
2024-09-12,88.22,89.3289,88.18,89.3,7181709.0
2024-09-13,89.45,90.72,89.39,90.55,7084239.0
2024-09-16,91.1,92.37,90.95,91.85,9028572.0
2024-09-17,92.37,93.25,92.17,92.86,8193075.0
2024-09-18,93.52,94.07,92.69,93.58,10289766.0
2024-09-19,94.82,95.29,93.32,93.45,10912446.0
2024-09-20,93.2,94.01,92.82,93.75,19251537.0
2024-09-23,93.695,93.7,92.16,92.97,7338661.0
2024-09-24,93.34,93.79,92.46,93.69,7860272.0
2024-09-25,93.64,94.44,93.352,93.92,8408242.0
2024-09-26,94.46,95.785,94.175,95.2,10061553.0
2024-09-27,95.485,96.9,95.28,96.01,10155420.0
2024-09-30,96.85,97.57,95.44,96.19,7988690.0
2024-10-01,95.19,95.85,93.3201,94.05,10099234.0
2024-10-02,93.59,94.58,93.59,94.15,6144176.0
2024-10-03,93.61,94.09,93.1306,93.63,6180349.0
2024-10-04,94.3,95.34,93.89,95.15,6317333.0
2024-10-07,95.09,95.14,91.76,92.39,11043614.0
2024-10-08,92.515,93.74,91.69,92.51,10209056.0
2024-10-09,91.86,94.01,91.46,93.6,8654470.0
2024-10-10,93.72,93.88,92.69,92.99,6698039.0
2024-10-11,92.85,94.61,92.8,94.13,8089133.0
2024-10-14,94.18,95.19,93.8,94.97,6261964.0
2024-10-15,95.25,95.65,93.68,94.22,6535756.0
2024-10-16,93.73,96.79,93.63,96.75,9936286.0
2024-10-17,96.93,97.33,95.61,96.54,9542501.0
2024-10-18,97.01,97.54,96.05,97.28,8609692.0
2024-10-21,97.2,97.45,95.95,96.62,8189949.0
2024-10-22,96.2,97.255,96.2,96.74,5344307.0
2024-10-23,96.93,97.1378,95.985,96.24,5388501.0
2024-10-24,96.6,96.8,95.2515,95.4,5015263.0
2024-10-25,95.81,96.8536,95.01,95.03,6638148.0
2024-10-28,95.22,96.685,95.21,96.2,8146379.0
2024-10-29,96.26,96.62,95.675,96.13,6834439.0
2024-10-30,95.7,96.71,94.94,95.08,7718201.0
2024-10-31,95.27,96.63,95.0,96.2,8147709.0
2024-11-01,95.7,96.39,94.83,95.81,7944869.0
2024-11-04,95.825,96.0188,95.03,95.79,6088036.0
2024-11-05,95.6,96.67,95.25,96.63,6561725.0
2024-11-06,98.21,99.55,98.21,98.89,11325086.0
2024-11-07,98.78,99.52,98.13,98.93,7805138.0
2024-11-08,98.73,99.26,97.61,99.02,7982113.0
2024-11-11,99.0,100.9,99.0,100.86,9137854.0
2024-11-12,100.55,101.29,99.5,100.99,9366216.0
2024-11-13,100.785,103.2,100.35,102.72,17701277.0
2024-11-14,110.33,114.81,108.4,109.12,47436052.0
2024-11-15,110.25,115.19,110.25,115.08,32048032.0
2024-11-18,113.33,115.435,112.89,113.54,14236555.0
2024-11-19,112.05,112.5,110.82,112.42,12166783.0
2024-11-20,112.26,114.37,111.47,114.26,9319270.0
2024-11-21,114.15,116.25,113.8343,114.72,10260983.0
2024-11-22,113.85,116.34,113.6,115.65,10098038.0
2024-11-25,115.68,116.5798,114.932,116.0,10397808.0
2024-11-26,116.0,116.42,115.44,115.45,6808149.0
2024-11-27,115.445,118.1998,115.445,117.6,8142388.0
2024-11-29,117.26,117.74,116.73,117.47,5095150.0
2024-12-02,117.78,118.63,116.55,117.16,8390465.0
2024-12-03,117.0,117.23,115.45,116.45,9193973.0
2024-12-04,115.97,117.29,115.84,116.99,7996244.0
2024-12-05,116.55,117.27,116.06,116.5,9823556.0
2024-12-06,116.55,117.26,116.22,116.73,6677906.0
2024-12-09,116.385,117.18,113.91,114.61,8666121.0
2024-12-10,114.65,114.95,113.72,114.73,7526428.0
2024-12-11,114.635,115.05,113.98,114.61,6426831.0
2024-12-12,114.7,115.01,114.16,114.9,5285116.0
2024-12-13,114.322,114.96,113.3,113.34,6864475.0
2024-12-16,113.0,113.067,111.73,112.11,10528533.0
2024-12-17,111.025,114.04,110.8,113.02,12238619.0
2024-12-18,113.34,116.1184,111.24,111.35,12292778.0
2024-12-19,111.66,112.91,111.25,111.37,9468516.0
2024-12-20,110.61,112.97,110.43,112.03,17955325.0
2024-12-23,111.61,111.85,110.31,111.4,6037212.0
2024-12-24,111.25,112.74,111.1924,112.56,2474994.0
2024-12-26,112.12,113.32,111.86,112.55,4782814.0
2024-12-27,111.82,112.12,110.86,111.55,4523820.0
2024-12-30,110.425,111.54,109.83,110.8,5716337.0
2024-12-31,110.78,111.59,110.67,111.35,4757538.0
2025-01-02,111.7,112.2,110.17,110.82,5688086.0
2025-01-03,111.37,111.535,110.18,111.16,5394318.0
2025-01-06,111.47,112.8537,110.87,111.05,6274419.0
2025-01-07,112.15,113.74,111.29,111.39,7878807.0
2025-01-08,111.0,111.11,108.64,109.76,7805312.0
2025-01-10,110.0,110.54,107.62,108.65,8835518.0
2025-01-13,107.93,108.61,106.72,108.08,6690232.0
2025-01-14,108.68,108.96,107.61,108.12,5501600.0
2025-01-15,109.17,109.6,107.99,108.18,6296861.0
2025-01-16,108.29,108.6,106.16,106.46,7872767.0
2025-01-17,106.83,107.74,106.54,107.02,7144263.0
2025-01-21,107.1,109.45,106.8,108.7,8643694.0
2025-01-22,109.55,109.55,108.23,108.81,8781705.0
2025-01-23,108.5,111.07,108.49,111.04,7608265.0
2025-01-24,111.155,113.39,110.63,112.16,8304478.0
2025-01-27,111.68,114.08,111.46,113.34,10176938.0
2025-01-28,112.845,112.96,111.56,112.14,6516763.0
2025-01-29,113.495,114.3844,112.76,113.19,7607068.0
2025-01-30,114.085,115.18,113.12,113.43,6236187.0
2025-01-31,113.3,114.01,112.76,113.06,7797690.0
2025-02-03,111.35,114.6,110.86,114.0,8870666.0
2025-02-04,113.8,114.655,112.51,113.3,13521149.0
2025-02-05,115.7,118.59,110.23,110.54,23309982.0
2025-02-06,111.88,112.68,109.15,112.09,12470787.0
2025-02-07,111.61,112.55,110.8101,110.86,8669320.0
2025-02-10,111.14,111.38,108.69,109.28,8239512.0
2025-02-11,108.38,109.05,107.69,109.02,7456717.0
2025-02-12,108.25,109.525,107.75,109.23,6521246.0
2025-02-13,108.92,109.76,108.56,109.59,6553224.0
2025-02-14,109.86,110.51,109.5901,110.38,5964541.0
2025-02-18,109.775,109.92,108.71,109.56,8362898.0
2025-02-19,109.14,111.76,109.14,111.35,8452114.0
2025-02-20,111.24,111.52,109.375,110.55,5970106.0
2025-02-21,111.0,111.76,107.92,108.66,9082075.0
2025-02-24,108.84,111.555,108.65,111.2,7093298.0
2025-02-25,111.43,111.9,109.07,110.53,7288975.0
2025-02-26,110.055,113.25,110.055,111.83,7831584.0
2025-02-27,112.32,113.12,111.06,111.31,7854650.0
2025-02-28,111.46,113.99,111.0,113.8,14609401.0
2025-03-03,114.07,115.55,112.0,112.79,7884746.0
2025-03-04,111.7,112.25,108.27,109.01,12658024.0
2025-03-05,109.34,110.9383,108.22,109.31,9956143.0
2025-03-06,108.38,108.83,105.0165,105.43,11618753.0
2025-03-07,105.0,105.77,103.31,105.51,12715904.0
2025-03-10,104.43,104.8,102.11,103.08,10824783.0
2025-03-11,99.79,101.04,97.45,97.9,16906005.0
2025-03-12,98.68,99.49,96.38,98.76,11891787.0
2025-03-13,97.77,98.65,95.925,96.87,11059480.0
2025-03-14,97.44,99.0985,97.415,98.64,10199761.0
2025-03-17,98.74,100.12,98.66,99.36,8332119.0
2025-03-18,99.27,99.725,98.475,99.35,6727404.0
2025-03-19,99.655,100.96,99.47,100.29,8614622.0
2025-03-20,99.57,100.05,98.64,98.86,7836515.0
2025-03-21,98.38,99.89,97.75,99.46,15089873.0
2025-03-24,100.22,100.44,98.86,100.18,8224405.0
