date,open,high,low,close,volume
2024-06-03,40.19,40.5,26.4,28.0,165808288.0
2024-06-04,26.26,28.01,25.2,26.5,51662126.0
2024-06-05,26.3,31.84,26.11,31.57,73156424.0
2024-06-06,31.57,47.5,31.28,46.55,206685844.0
2024-06-07,37.69,48.0,26.12,28.22,279054397.0
2024-06-10,28.97,29.34,23.06,24.83,131572406.0
2024-06-11,24.4,30.92,22.79,30.49,146914749.0
2024-06-12,29.17,33.7,24.83,25.46,147986688.0
2024-06-13,26.56,29.58,25.56,29.12,107306569.0
2024-06-14,29.23,30.66,27.41,28.7,82874430.0
2024-06-17,28.55,29.18,23.79,25.22,90351902.0
2024-06-18,24.58,25.97,23.61,24.7,38079233.0
2024-06-20,24.25,25.93,23.65,25.59,36029250.0
2024-06-21,25.24,25.81,23.51,23.93,28003995.0
2024-06-24,23.26,24.83,23.24,23.65,22162932.0
2024-06-25,23.6,24.97,22.55,24.93,27625607.0
2024-06-26,24.6,25.38,24.04,24.2,17903022.0
2024-06-27,24.1,26.69,24.06,25.09,34866993.0
2024-06-28,25.02,26.17,24.31,24.69,20212010.0
2024-07-01,23.35,23.78,22.31,23.33,30688982.0
2024-07-02,23.24,24.3199,23.1,23.98,13703516.0
2024-07-03,24.03,24.89,23.65,24.37,11829528.0
2024-07-05,24.18,25.0799,23.82,24.18,11782058.0
2024-07-08,24.12,25.14,23.85,24.45,11815529.0
2024-07-09,24.6,25.1799,24.0,24.6,9523548.0
2024-07-10,25.0,26.45,24.9,24.97,22325378.0
2024-07-11,25.435,26.02,25.02,25.57,13032724.0
2024-07-12,25.76,26.89,25.42,26.05,16238873.0
2024-07-15,25.98,27.2,25.651,27.0,17136420.0
2024-07-16,27.75,28.83,27.3701,28.54,25594530.0
2024-07-17,28.4,29.79,27.24,27.98,23775045.0
2024-07-18,27.98,28.382,25.61,25.88,16969661.0
2024-07-19,25.55,26.39,24.85,24.97,12763308.0
2024-07-22,24.84,25.98,24.38,25.22,14090399.0
2024-07-23,25.22,25.68,24.89,25.5,7921716.0
2024-07-24,25.15,25.45,23.93,24.01,9549237.0
2024-07-25,23.59,24.5899,23.36,23.95,8567677.0
2024-07-26,24.28,24.77,24.11,24.13,6833886.0
2024-07-29,24.23,24.38,23.54,23.6,7250207.0
