date,open,high,low,close,volume
2024-06-03,6.46,6.47,5.85,6.2,4758246.0
2024-06-04,6.2,6.295,6.07,6.15,2368396.0
2024-06-05,6.19,6.54,6.1002,6.36,2802967.0
2024-06-06,6.21,6.31,6.03,6.09,2265073.0
2024-06-07,6.0,6.36,5.9057,6.1,2496286.0
2024-06-10,6.05,6.265,5.93,6.24,3096818.0
2024-06-11,6.12,6.675,5.9,5.96,4790981.0
2024-06-12,6.14,6.155,5.49,5.6,5203364.0
2024-06-13,5.63,5.915,5.53,5.87,2659455.0
2024-06-14,5.92,6.05,5.66,5.96,2686223.0
2024-06-17,5.91,6.2,5.79,5.83,3684893.0
2024-06-18,5.84,6.35,5.8,6.23,2663726.0
2024-06-20,6.43,7.37,6.33,6.5,6298734.0
2024-06-21,6.7,7.349,6.5,7.26,14973401.0
2024-06-24,7.5,7.63,7.17,7.34,4934255.0
2024-06-25,7.23,7.36,6.99,7.27,3556114.0
2024-06-26,7.27,7.27,6.74,6.77,3089414.0
2024-06-27,6.67,6.74,6.31,6.54,2771541.0
2024-06-28,6.5,6.555,6.2,6.32,5920816.0
2024-07-01,6.38,6.65,6.24,6.27,2226852.0
2024-07-02,6.28,6.28,6.01,6.18,1669051.0
2024-07-03,6.18,6.345,6.17,6.28,766080.0
2024-07-05,6.17,6.38,6.1379,6.36,1295615.0
2024-07-08,6.4,6.77,6.4,6.64,1841871.0
2024-07-09,6.55,6.6177,6.37,6.5,1122899.0
2024-07-10,6.42,6.58,6.42,6.58,1130610.0
2024-07-11,6.73,6.8,6.61,6.7,1767846.0
2024-07-12,6.77,6.844,6.6,6.62,1599748.0
2024-07-15,6.67,6.705,6.325,6.36,2090732.0
2024-07-16,6.45,6.58,6.33,6.4,2164269.0
2024-07-17,6.36,6.36,6.065,6.13,2347413.0
2024-07-18,6.15,6.31,5.82,5.98,2697340.0
2024-07-19,5.93,6.02,5.75,5.79,1762883.0
2024-07-22,5.85,5.89,5.6,5.71,2519781.0
