date,open,high,low,close,volume
2024-06-03,17.76,17.76,17.01,17.52,630016.0
2024-06-04,17.32,17.4,16.71,17.26,681093.0
2024-06-05,17.25,17.64,17.0,17.5,575984.0
2024-06-06,17.5,17.78,17.27,17.67,442017.0
2024-06-07,17.41,17.65,17.25,17.36,492360.0
2024-06-10,17.35,17.75,16.81,17.12,641413.0
2024-06-11,17.04,17.15,16.83,16.87,544760.0
2024-06-12,17.5,17.6352,16.86,16.91,511795.0
2024-06-13,16.8,16.8525,16.43,16.7,428710.0
2024-06-14,16.45,16.71,16.24,16.7,556156.0
2024-06-17,16.65,17.08,16.65,16.98,617259.0
2024-06-18,16.98,17.27,16.84,17.09,690312.0
2024-06-20,16.98,17.18,16.8398,16.93,664751.0
2024-06-21,16.93,17.3,16.79,16.97,4835682.0
2024-06-24,17.0,17.23,15.795,16.17,1384183.0
2024-06-25,14.48,15.5304,13.36,15.41,2668561.0
2024-06-26,15.3,15.57,14.51,14.57,1066635.0
2024-06-27,14.43,14.44,13.63,13.74,1160872.0
2024-06-28,13.77,13.77,13.26,13.5,2003594.0
2024-07-01,13.52,13.53,12.865,13.02,987247.0
2024-07-02,13.0,13.37,12.88,13.24,996166.0
2024-07-03,13.25,13.3,13.02,13.11,287534.0
2024-07-05,12.99,12.99,12.47,12.59,687206.0
2024-07-08,12.72,12.95,12.595,12.69,1022798.0
2024-07-09,12.63,13.025,12.36,12.93,953613.0
2024-07-10,12.89,13.19,12.82,13.17,637644.0
2024-07-11,13.54,13.79,13.255,13.6,841881.0
2024-07-12,13.83,13.97,13.65,13.74,722828.0
2024-07-15,13.83,14.1,13.605,13.82,949840.0
2024-07-16,13.86,14.45,13.85,14.43,820381.0
2024-07-17,14.23,15.02,14.18,14.81,862015.0
2024-07-18,14.73,15.11,14.44,14.61,672507.0
2024-07-19,15.03,15.03,14.3,14.82,684710.0
2024-07-22,15.01,15.38,14.86,15.31,710509.0
2024-07-23,15.22,16.98,15.06,16.48,1898363.0
2024-07-24,16.53,16.98,16.141,16.19,1148392.0
2024-07-25,16.33,16.89,15.62,15.67,1332822.0
2024-07-26,15.75,15.85,14.72,15.2,1129757.0
2024-07-29,15.49,15.77,15.15,15.44,980132.0
2024-07-30,15.43,15.8424,15.32,15.5,950383.0
2024-07-31,15.5,16.85,15.26,16.42,1985570.0
2024-08-01,16.36,16.7,15.98,16.42,2214785.0
2024-08-02,15.45,16.27,14.21,16.2,1641039.0
2024-08-05,15.27,15.71,14.47,14.87,1665175.0
2024-08-06,14.88,15.45,14.37,15.4,1641927.0
2024-08-07,15.36,15.39,14.55,14.82,1593045.0
2024-08-08,15.02,15.42,14.775,15.31,1157555.0
2024-08-09,15.51,15.68,15.12,15.17,819031.0
2024-08-12,15.14,15.15,14.75,15.04,656291.0
2024-08-13,15.16,16.27,15.1,15.98,680016.0
2024-08-14,16.1,16.236,15.5,15.51,644043.0
2024-08-15,15.96,16.1,15.495,16.09,654275.0
2024-08-16,16.0,16.25,15.675,15.95,787316.0
2024-08-19,15.87,16.18,15.71,16.1,524445.0
2024-08-20,15.98,16.17,15.63,15.63,518441.0
2024-08-21,15.75,15.92,15.55,15.83,446688.0
2024-08-22,15.83,16.0,15.56,15.65,357292.0
2024-08-23,15.77,16.61,15.73,16.37,768918.0
2024-08-26,16.52,16.63,16.12,16.13,434565.0
2024-08-27,16.04,16.05,15.51,15.72,441146.0
2024-08-28,15.64,16.16,15.5,15.89,554400.0
2024-08-29,15.99,16.18,15.8,15.9,590814.0
2024-08-30,16.07,16.21,15.31,15.54,854450.0
2024-09-03,15.38,15.62,15.3,15.37,687076.0
2024-09-04,15.34,15.95,15.135,15.94,714284.0
2024-09-05,15.98,15.98,15.46,15.72,514832.0
2024-09-06,15.75,15.845,15.45,15.49,390421.0
2024-09-09,15.4,15.4,14.37,14.39,746386.0
2024-09-10,14.43,14.61,14.13,14.42,776015.0
2024-09-11,14.33,14.615,14.11,14.57,637443.0
2024-09-12,14.61,14.89,14.37,14.39,493728.0
2024-09-13,14.61,15.64,14.55,15.53,670342.0
2024-09-16,15.72,16.13,15.45,16.05,776498.0
2024-09-17,16.27,16.32,15.67,15.87,801171.0
2024-09-18,15.92,16.47,15.655,15.81,893092.0
2024-09-19,16.34,16.43,15.75,16.04,1017025.0
2024-09-20,15.84,16.15,15.52,15.88,8127888.0
2024-09-23,16.03,16.17,14.83,15.14,1316705.0
2024-09-24,15.14,15.25,14.51,14.51,864327.0
2024-09-25,14.5,14.68,14.27,14.53,2438302.0
2024-09-26,14.81,15.76,14.7,15.73,1198908.0
2024-09-27,15.94,16.35,15.835,16.18,850700.0
2024-09-30,16.14,16.38,15.67,15.69,798219.0
2024-10-01,15.66,15.69,14.335,14.55,817095.0
