date,open,high,low,close,volume
2024-06-03,14.57,14.765,13.55,14.0,7554629.0
2024-06-04,14.13,14.2,13.8,14.0,9549592.0
2024-06-05,14.19,14.67,14.12,14.63,10963194.0
2024-06-06,14.52,14.7,14.48,14.55,5249199.0
2024-06-07,14.41,14.48,13.96,14.07,7729922.0
2024-06-10,14.12,14.34,13.995,14.24,3447009.0
2024-06-11,14.34,14.64,14.26,14.35,6418928.0
2024-06-12,14.56,14.63,14.165,14.34,6669687.0
2024-06-13,14.39,15.04,14.39,14.85,9777209.0
2024-06-14,14.57,15.05,14.53,14.8,15860500.0
2024-06-17,14.7,14.77,14.055,14.16,7976337.0
2024-06-18,13.98,14.37,13.91,14.36,6443661.0
2024-06-20,14.5,14.67,13.82,14.06,5920301.0
2024-06-21,13.93,14.12,13.77,14.01,7529514.0
2024-06-24,14.01,14.335,13.97,14.28,4092059.0
2024-06-25,14.21,14.43,14.085,14.3,6057112.0
2024-06-26,14.27,14.355,14.11,14.32,4915073.0
2024-06-27,14.2,14.2,13.905,13.97,7199382.0
2024-06-28,14.07,14.16,13.93,14.05,6670518.0
2024-07-01,14.17,14.5199,14.11,14.34,6892593.0
2024-07-02,14.28,14.495,14.12,14.43,3012607.0
2024-07-03,14.57,15.04,14.57,14.94,6416157.0
2024-07-05,14.75,14.98,14.48,14.53,10921117.0
2024-07-08,14.38,14.53,14.07,14.51,9213447.0
2024-07-09,14.62,15.34,14.53,15.27,9772672.0
2024-07-10,15.2,15.53,14.98,15.06,7899070.0
2024-07-11,15.0,15.26,14.87,14.98,10027358.0
2024-07-12,15.05,15.32,14.96,15.13,7837852.0
2024-07-15,14.99,15.12,14.86,14.86,8460444.0
2024-07-16,14.79,15.18,14.71,15.13,7367015.0
2024-07-17,14.98,14.9899,14.69,14.77,6020902.0
2024-07-18,14.76,14.95,14.285,14.44,5444834.0
2024-07-19,14.4,14.45,14.26,14.26,5234790.0
2024-07-22,14.49,15.01,14.49,14.89,5450929.0
2024-07-23,14.79,15.28,14.76,15.28,6149357.0
2024-07-24,14.95,15.12,14.57,14.72,7895563.0
2024-07-25,14.59,14.615,14.21,14.43,8273759.0
2024-07-26,14.4,14.45,13.82,14.09,6582750.0
2024-07-29,14.21,14.33,13.93,13.99,7840374.0
2024-07-30,13.94,14.01,13.81,13.9,5480523.0
2024-07-31,14.3,14.44,14.09,14.18,4873444.0
2024-08-01,14.2,14.2,13.165,13.29,8800865.0
2024-08-02,12.83,12.93,12.36,12.62,10524387.0
2024-08-05,11.67,12.75,11.67,12.6,6171465.0
2024-08-06,12.89,13.585,12.8203,13.34,7657603.0
2024-08-07,13.66,13.83,13.175,13.26,3919323.0
2024-08-08,13.39,13.56,13.185,13.55,3566362.0
2024-08-09,13.48,13.515,12.82,12.96,10491807.0
2024-08-12,12.9,13.27,12.77,13.13,12267971.0
2024-08-13,11.36,11.56,10.81,11.12,41560842.0
2024-08-14,11.18,11.325,11.08,11.13,17198731.0
2024-08-15,11.13,11.27,10.87,10.97,11269317.0
2024-08-16,10.92,10.94,10.48,10.53,10637786.0
2024-08-19,10.62,10.68,10.49,10.64,11063189.0
2024-08-20,10.49,10.54,10.21,10.38,13905782.0
2024-08-21,10.39,10.54,10.27,10.44,6842222.0
2024-08-22,10.35,10.46,10.07,10.25,12301167.0
2024-08-23,10.27,10.29,10.13,10.24,7022651.0
2024-08-26,10.15,10.825,10.115,10.7,10035859.0
2024-08-27,10.9,11.03,10.7,10.73,10758694.0
2024-08-28,10.66,10.715,10.07,10.18,10117413.0
2024-08-29,10.43,10.58,10.3625,10.47,6261944.0
2024-08-30,10.68,10.72,10.305,10.44,8606364.0
2024-09-03,10.28,10.5,10.25,10.35,6452000.0
2024-09-04,10.41,10.53,10.335,10.46,5431090.0
2024-09-05,10.44,10.54,10.27,10.32,7806419.0
2024-09-06,10.27,10.485,10.13,10.18,4404447.0
2024-09-09,10.13,10.31,9.88,10.15,9992690.0
2024-09-10,10.16,10.25,9.62,9.65,12925257.0
2024-09-11,9.69,9.77,9.55,9.75,11006123.0
2024-09-12,9.74,9.86,9.655,9.75,6227211.0
2024-09-13,9.73,9.73,9.43,9.51,6663206.0
2024-09-16,9.59,9.63,9.44,9.48,5267267.0
2024-09-17,9.6,9.745,9.46,9.5,5171212.0
2024-09-18,9.48,9.55,9.41,9.46,5385524.0
2024-09-19,9.67,10.085,9.66,9.93,11459572.0
2024-09-20,10.0,10.06,9.8,9.86,11695897.0
2024-09-23,9.96,10.415,9.79,10.18,8249342.0
2024-09-24,11.51,12.0084,11.095,11.85,30514575.0
2024-09-25,11.37,11.59,11.27,11.28,20300421.0
2024-09-26,12.58,13.83,12.0099,12.27,29216100.0
2024-09-27,12.64,12.99,12.23,12.28,16793688.0
2024-09-30,12.71,12.84,11.91,12.05,16852407.0
2024-10-01,12.15,12.8,12.07,12.75,10007281.0
2024-10-02,13.78,14.0494,13.35,13.73,18489402.0
2024-10-03,12.93,13.705,12.9,13.51,14183535.0
2024-10-04,13.92,14.01,13.29,13.48,9092492.0
2024-10-07,13.57,13.75,13.07,13.34,10220648.0
2024-10-08,12.12,12.63,12.12,12.63,10620351.0
2024-10-09,11.99,12.42,11.99,12.36,9657946.0
2024-10-10,12.31,12.625,12.3,12.53,4906411.0
2024-10-11,12.3,13.385,12.245,12.78,13612525.0
2024-10-14,12.59,13.06,12.528,12.7,9217968.0
2024-10-15,12.35,12.38,12.01,12.25,8757954.0
2024-10-16,12.31,12.38,12.06,12.13,4558879.0
2024-10-17,11.92,11.92,11.55,11.64,4856285.0
2024-10-18,12.0,12.08,11.78,11.88,4358416.0
2024-10-21,11.86,11.995,11.63,11.77,4390102.0
2024-10-22,11.68,11.95,11.485,11.8,4127440.0
2024-10-23,11.8,11.9,11.49,11.59,4825152.0
2024-10-24,11.46,11.51,11.24,11.43,5993123.0
2024-10-25,11.55,11.65,11.415,11.49,4801891.0
2024-10-28,11.59,12.08,11.59,11.84,5226433.0
2024-10-29,11.9,12.03,11.54,11.56,5336383.0
2024-10-30,11.47,11.62,11.34,11.42,3699992.0
2024-10-31,11.41,11.415,11.08,11.13,5857494.0
2024-11-01,11.25,11.3025,11.05,11.12,3935120.0
2024-11-04,11.26,11.51,11.17,11.26,4246444.0
2024-11-05,11.64,11.805,11.54,11.73,5011575.0
2024-11-06,11.285,11.62,11.275,11.62,6396553.0
2024-11-07,11.98,12.11,11.61,11.78,6547599.0
2024-11-08,11.39,11.6,11.205,11.39,8103286.0
2024-11-11,11.67,11.765,11.51,11.55,8401754.0
2024-11-12,10.78,11.1,10.36,10.92,13649335.0
2024-11-13,10.92,10.985,10.37,10.67,8573189.0
2024-11-14,10.32,10.82,10.11,10.81,13205050.0
2024-11-15,10.88,11.245,10.88,11.07,9144251.0
2024-11-18,11.1,11.635,10.9,11.49,8349854.0
2024-11-19,11.33,11.47,11.1,11.15,4371105.0
2024-11-20,11.25,11.5,11.22,11.44,6482128.0
2024-11-21,11.33,11.73,11.26,11.52,6382082.0
2024-11-22,11.26,11.569,11.17,11.53,4641596.0
2024-11-25,11.64,11.71,11.16,11.19,9273479.0
