date,open,high,low,close,volume
2024-06-03,18.49,18.53,17.84,18.03,8527113.0
2024-06-04,17.9,18.21,17.85,17.95,6237834.0
2024-06-05,18.0,18.0,17.56,17.63,8868514.0
2024-06-06,17.55,18.125,17.325,18.03,9422244.0
2024-06-07,17.76,17.82,17.19,17.27,9142809.0
2024-06-10,17.23,18.0,17.2,17.97,9728149.0
2024-06-11,17.86,17.91,17.3125,17.57,7330656.0
2024-06-12,18.07,18.56,17.82,17.91,8852803.0
2024-06-13,17.91,17.93,16.71,16.78,10573853.0
2024-06-14,16.75,16.75,16.165,16.4,9782611.0
2024-06-17,16.34,16.545,15.97,16.46,6343354.0
2024-06-18,16.32,16.58,16.05,16.08,5790334.0
2024-06-20,15.95,15.99,15.38,15.53,9030329.0
2024-06-21,15.41,16.045,15.23,15.97,8930177.0
2024-06-24,15.9386,16.855,15.8,16.7,11408408.0
2024-06-25,16.7,16.7,15.9,16.02,8940438.0
2024-06-26,15.9,16.69,15.85,16.46,5490778.0
2024-06-27,16.41,16.765,16.24,16.54,5931193.0
2024-06-28,16.6,16.66,16.07,16.26,9040985.0
2024-07-01,16.27,16.35,15.755,15.81,5884618.0
2024-07-02,15.86,16.14,15.71,16.01,5116215.0
2024-07-03,16.08,16.1,15.72,15.73,3792007.0
2024-07-05,15.73,15.94,15.51,15.71,4405982.0
2024-07-08,15.8,16.5298,15.53,16.15,8722576.0
2024-07-09,16.04,16.19,15.155,15.52,9844547.0
2024-07-10,15.6,15.62,15.17,15.38,7037952.0
2024-07-11,15.81,17.1,15.73,16.52,18465425.0
2024-07-12,16.9,17.35,16.81,17.11,12134384.0
2024-07-15,17.37,17.52,16.56,16.93,8460556.0
2024-07-16,17.0,17.82,16.99,17.65,11652310.0
2024-07-17,17.39,18.33,17.39,18.09,13622899.0
2024-07-18,17.99,18.365,16.31,16.37,17032894.0
2024-07-19,16.18,16.42,15.87,16.21,8332439.0
2024-07-22,16.37,16.54,15.97,16.47,6176523.0
2024-07-23,16.36,17.105,16.36,16.92,6249174.0
2024-07-24,16.74,17.18,15.58,15.6,8909483.0
2024-07-25,15.5,16.69,15.4095,16.18,8194111.0
2024-07-26,16.51,16.78,16.24,16.61,7310530.0
2024-07-29,16.73,16.9263,16.305,16.35,4986965.0
2024-07-30,16.29,16.54,15.88,16.17,5927166.0
2024-07-31,16.31,17.07,16.14,16.36,8844521.0
2024-08-01,16.2,16.22,15.15,15.35,10200360.0
2024-08-02,14.76,15.38,14.48,15.32,12817104.0
2024-08-05,13.96,14.885,13.91,14.48,12415205.0
2024-08-06,14.7,14.71,14.1,14.25,8327786.0
2024-08-07,14.25,14.85,13.895,13.93,11881819.0
2024-08-08,14.03,14.565,13.94,14.36,18302592.0
2024-08-09,14.8,16.485,14.68,15.54,35526561.0
2024-08-12,15.58,15.66,14.89,15.21,16479228.0
2024-08-13,15.45,16.63,15.21,16.25,13342225.0
2024-08-14,16.16,16.34,15.62,15.82,9639657.0
2024-08-15,16.11,16.43,15.93,16.32,8027966.0
2024-08-16,16.15,16.54,16.12,16.51,6101928.0
2024-08-19,16.67,16.79,16.38,16.72,8027959.0
2024-08-20,16.68,17.3498,16.66,17.02,7778515.0
2024-08-21,17.12,17.37,16.86,17.3,6810917.0
2024-08-22,17.34,17.56,16.81,16.87,7615184.0
2024-08-23,17.06,17.93,16.97,17.88,9185363.0
2024-08-26,18.0,18.06,17.33,17.72,7119931.0
2024-08-27,17.56,17.65,17.0701,17.26,4364220.0
2024-08-28,17.18,17.18,16.135,16.46,7657070.0
2024-08-29,16.7,17.315,16.57,16.67,6552883.0
2024-08-30,16.85,16.99,15.99,16.37,21249387.0
2024-09-03,17.86,18.17,16.62,16.7,22534186.0
2024-09-04,16.51,16.845,15.8,15.94,11882908.0
2024-09-05,15.89,17.11,15.81,17.09,13528062.0
2024-09-06,17.46,17.59,15.685,15.86,14249142.0
2024-09-09,16.12,17.3,16.12,17.17,13968874.0
2024-09-10,17.31,17.54,16.48,16.75,14942163.0
2024-09-11,16.71,17.27,16.23,17.22,11962461.0
2024-09-12,17.23,19.545,16.72,18.91,34076032.0
2024-09-13,19.59,20.7099,19.39,19.91,26617946.0
2024-09-16,19.85,21.07,19.23,20.3,22514077.0
2024-09-17,20.48,20.76,20.0223,20.63,12709122.0
2024-09-18,20.58,21.0,19.9107,20.22,13302740.0
2024-09-19,21.1,21.17,20.13,20.29,13781595.0
2024-09-20,20.11,21.18,19.82,20.81,19519345.0
2024-09-23,21.03,21.66,20.36,21.37,17478192.0
2024-09-24,21.67,23.33,21.2,23.19,29472447.0
2024-09-25,22.88,23.15,21.12,21.89,28236011.0
2024-09-26,22.59,22.88,21.94,22.34,14815060.0
2024-09-27,22.58,23.295,22.27,22.59,11482428.0
2024-09-30,22.29,23.4,22.1,22.62,13079810.0
2024-10-01,22.65,22.79,21.2029,21.59,11255758.0
2024-10-02,21.38,21.94,20.84,21.04,12474440.0
2024-10-03,20.8,21.2481,20.01,20.69,12402194.0
2024-10-04,21.13,22.0999,20.86,21.84,11545103.0
2024-10-07,21.65,21.92,20.785,21.2,9072919.0
2024-10-08,20.96,21.62,20.88,21.19,5673471.0
2024-10-09,21.07,21.89,21.07,21.09,6439450.0
2024-10-10,20.83,21.28,20.57,20.88,6187107.0
2024-10-11,20.82,22.2,20.56,21.62,8506009.0
2024-10-14,21.45,21.94,21.23,21.91,7985180.0
2024-10-15,21.99,22.85,21.67,21.95,10767202.0
2024-10-16,22.24,22.49,21.6101,21.79,6821584.0
2024-10-17,21.67,21.79,20.82,21.27,7053490.0
2024-10-18,21.5,22.14,21.3,22.11,7030137.0
2024-10-21,21.83,22.53,21.5,21.87,6273235.0
2024-10-22,21.61,21.78,21.1,21.21,6697572.0
2024-10-23,21.1,21.27,20.14,20.25,7046875.0
2024-10-24,20.6,20.97,20.34,20.41,7172989.0
2024-10-25,20.5,20.54,19.455,19.72,14852625.0
2024-10-28,20.01,20.6,19.84,20.52,7855049.0
2024-10-29,20.09,20.85,19.96,20.73,7604418.0
2024-10-30,20.59,21.32,20.44,20.7,5057458.0
2024-10-31,20.63,20.9,20.06,20.08,4407305.0
2024-11-01,20.18,21.155,20.0,20.83,7419613.0
2024-11-04,20.54,20.75,19.88,20.31,4862842.0
2024-11-05,20.5,21.67,20.435,21.62,6824117.0
2024-11-06,22.04,22.5,21.49,21.67,10584458.0
2024-11-07,22.49,22.695,21.76,22.21,16528697.0
2024-11-08,22.29,23.09,20.1,20.5,24571434.0
2024-11-11,20.5,20.51,19.72,20.2,16543971.0
2024-11-12,19.98,20.23,19.21,19.22,10158521.0
2024-11-13,19.01,19.78,18.85,19.13,10664521.0
2024-11-14,19.24,19.43,18.8,18.84,7284863.0
2024-11-15,18.5,18.65,17.29,17.34,17409997.0
2024-11-18,17.32,18.01,17.31,17.99,10161029.0
2024-11-19,17.57,19.82,17.57,19.8,15289107.0
2024-11-20,19.96,22.5474,19.93,21.63,24993812.0
2024-11-21,21.71,22.8,21.58,22.46,15567432.0
2024-11-22,22.42,24.0275,22.04,23.53,17355534.0
2024-11-25,24.56,24.85,23.67,24.02,17090248.0
2024-11-26,23.31,23.77,22.79,23.36,10878659.0
2024-11-27,23.75,23.89,22.93,23.47,6186273.0
2024-11-29,23.51,24.8,23.51,24.11,7475559.0
2024-12-02,23.79,24.49,23.31,24.25,10053181.0
2024-12-03,23.77,24.65,23.73,24.45,7103091.0
2024-12-04,24.76,27.24,24.76,26.34,17759940.0
2024-12-05,26.415,28.505,25.94,27.63,26740155.0
2024-12-06,28.02,28.67,26.92,27.72,16229834.0
2024-12-09,27.97,28.365,27.065,27.38,14278196.0
2024-12-10,27.04,27.84,26.0637,26.4,11002148.0
2024-12-11,26.7,27.42,26.07,26.55,8187297.0
2024-12-12,26.11,26.845,25.5,26.12,6591508.0
2024-12-13,26.0,26.22,24.26,24.44,11376719.0
2024-12-16,24.45,25.65,24.26,25.16,10141243.0
2024-12-17,24.79,24.95,23.89,24.66,8064762.0
2024-12-18,24.67,24.88,22.16,22.34,9026156.0
2024-12-19,22.5,23.24,21.855,22.26,8688817.0
2024-12-20,21.83,23.11,21.69,22.51,12687977.0
2024-12-23,22.42,22.5,21.91,22.36,5809205.0
2024-12-24,22.25,23.0306,21.985,22.8,3786430.0
2024-12-26,22.69,24.3854,22.5901,24.17,9793930.0
2024-12-27,24.05,24.3716,22.7,22.84,7470972.0
2024-12-30,22.56,22.88,21.57,22.51,6670311.0
